Business Name,Business Type,Category,Sub Category,Full Address,Area,City,Country,Pincode/Postcode,Phone Number,Website,Google Rating,Total Reviews,Opening Time,Closing Time,Full Timing,Google Maps URL,Latitude,Longitude,Search Pincode/Postcode,Search Query,Scraped Date/Time
TechnoAdviser Technologies Private Limited,,It Company,It Company,Titanium Business Park B 1003 Railway Underpass/Crossing off Sarkhej Gandhinagar Highway near Makarba,Titanium Business Park B,Ahmedabad,India,380051,8490911181,http://www.technoadviser.com/,4.9,4,,8 PM,Open · Closes 8 PM,"https://www.google.com/maps/place/TechnoAdviser+Technologies+Private+Limited/@22.9973695,72.4972781,17z/data=!4m10!1m2!2m1!1sIt+Company+in+380051+Ahmedabad+it+company+titanium+business+park,!3m6!1s0x395e9b2973937fd5:0xe74d845033956f41!8m2!3d22.9973695!4d72.5020417!15sCkFJdCBDb21wYW55IGluIDM4MDA1MSBBaG1lZGFiYWQgaXQgY29tcGFueSB0aXRhbml1bSBidXNpbmVzcyBwYXJrLJIBEHNvZnR3YXJlX2NvbXBhbnngAQA!16s%2Fg%2F11c3w9s7z4?hl=en&entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D",22.9973695,72.4972781,380051,"It Company in 380051 Ahmedabad it company titanium business park,",2026-08-25 18:23:20
Prioxis Technologies,,It Company,It Company,Titanium Business Park B 1203-1208 Corporate Rd,Titanium Business Park B 1203-1208 Corporate Rd,Ahmedabad,India,380051,9054272806,https://www.prioxis.com/,4.6,4,,9 PM,Open · Closes 9 PM,"https://www.google.com/maps/place/Prioxis+Technologies/@22.9973695,72.4972781,17z/data=!4m10!1m2!2m1!1sIt+Company+in+380051+Ahmedabad+it+company+titanium+business+park,!3m6!1s0x395e9bf28a6c5661:0xe2209b3edc34b14!8m2!3d22.9974972!4d72.5017743!15sCkFJdCBDb21wYW55IGluIDM4MDA1MSBBaG1lZGFiYWQgaXQgY29tcGFueSB0aXRhbml1bSBidXNpbmVzcyBwYXJrLFpCIkBpdCBjb21wYW55IGluIDM4MDA1MSBhaG1lZGFiYWQgaXQgY29tcGFueSB0aXRhbml1bSBidXNpbmVzcyBwYXJrkgEQc29mdHdhcmVfY29tcGFueeABAA!16s%2Fg%2F11h0thx62f?hl=en&entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D",22.9973695,72.4972781,380051,"It Company in 380051 Ahmedabad it company titanium business park,",2026-08-25 18:23:26
Techscope Technologies Pvt Ltd.,,It Company,It Company,Titanium Business Park A-714 Underpass near Makarba off Corporate Road,Titanium Business Park A-714 Underpass near Makarba off Corporate Road,Ahmedabad,India,380051,8460912882,https://techscope.co.in/,5.0,5,,7 PM,Open · Closes 7 PM,"https://www.google.com/maps/place/Techscope+Technologies+Pvt+Ltd./@22.9973695,72.4972781,17z/data=!4m10!1m2!2m1!1sIt+Company+in+380051+Ahmedabad+it+company+titanium+business+park,!3m6!1s0x395e9bd4ae2f70f7:0x9c6cd79480842575!8m2!3d22.9975342!4d72.5021611!15sCkFJdCBDb21wYW55IGluIDM4MDA1MSBBaG1lZGFiYWQgaXQgY29tcGFueSB0aXRhbml1bSBidXNpbmVzcyBwYXJrLFpCIkBpdCBjb21wYW55IGluIDM4MDA1MSBhaG1lZGFiYWQgaXQgY29tcGFueSB0aXRhbml1bSBidXNpbmVzcyBwYXJrkgEQc29mdHdhcmVfY29tcGFueeABAA!16s%2Fg%2F11p6r98t9p?hl=en&entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D",22.9973695,72.4972781,380051,"It Company in 380051 Ahmedabad it company titanium business park,",2026-08-25 18:23:32
Webking Solutions,,It Company,It Company,Titanium Business Park C-1102 near Underbridge,Titanium Business Park C-1102 near Underbridge,Ahmedabad,India,380051,9427206159,http://www.webkingsolutions.com/,4.9,4,,11 PM,Open · Closes 11 PM,"https://www.google.com/maps/place/Webking+Solutions/@22.9973695,72.4972781,17z/data=!4m10!1m2!2m1!1sIt+Company+in+380051+Ahmedabad+it+company+titanium+business+park,!3m6!1s0x395e852baaaaaaab:0x995e79afb02f413f!8m2!3d22.9973266!4d72.5019976!15sCkFJdCBDb21wYW55IGluIDM4MDA1MSBBaG1lZGFiYWQgaXQgY29tcGFueSB0aXRhbml1bSBidXNpbmVzcyBwYXJrLFpCIkBpdCBjb21wYW55IGluIDM4MDA1MSBhaG1lZGFiYWQgaXQgY29tcGFueSB0aXRhbml1bSBidXNpbmVzcyBwYXJrkgEQc29mdHdhcmVfY29tcGFueeABAA!16s%2Fg%2F1vd749bx?hl=en&entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D",22.9973695,72.4972781,380051,"It Company in 380051 Ahmedabad it company titanium business park,",2026-08-25 18:23:37
Tejoria Infra Pvt Ltd,,It Company,,Corporate office Under pass A 112 Corporate Rd near Makarba,Corporate office Under pass A 112 Corporate Rd near Makarba,Ahmedabad,India,380051,9215959500,http://www.tejoria.com/,4.6,4,11 AM,,Closed · Opens 11 AM,"https://www.google.com/maps/place/Tejoria+Infra+Pvt+Ltd/@22.9973695,72.4972781,17z/data=!4m10!1m2!2m1!1sIt+Company+in+380051+Ahmedabad+it+company+titanium+business+park,!3m6!1s0x395e9b2a41bde76d:0xdf3dc198626a6d56!8m2!3d22.9973266!4d72.5019976!15sCkFJdCBDb21wYW55IGluIDM4MDA1MSBBaG1lZGFiYWQgaXQgY29tcGFueSB0aXRhbml1bSBidXNpbmVzcyBwYXJrLJIBEGNvcnBvcmF0ZV9vZmZpY2XgAQA!16s%2Fg%2F11sv12pcsc?hl=en&entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D",22.9973695,72.4972781,380051,"It Company in 380051 Ahmedabad it company titanium business park,",2026-08-25 18:23:43
AppUnik,,It Company,It Company,Block D Titanium Business Park Office Nos 102–105,Block D Titanium Business Park Office Nos 102–105,Ahmedabad,India,380051,7435047427,https://appunik.ai/,4.9,4,,7 PM,Open · Closes 7 PM,"https://www.google.com/maps/place/AppUnik/@22.9973695,72.4972781,17z/data=!4m10!1m2!2m1!1sIt+Company+in+380051+Ahmedabad+it+company+titanium+business+park,!3m6!1s0x395e8f7e82ce2cbb:0x751e17818d8edecc!8m2!3d22.9973266!4d72.5019976!15sCkFJdCBDb21wYW55IGluIDM4MDA1MSBBaG1lZGFiYWQgaXQgY29tcGFueSB0aXRhbml1bSBidXNpbmVzcyBwYXJrLJIBEHNvZnR3YXJlX2NvbXBhbnngAQA!16s%2Fg%2F11grq186s4?hl=en&entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D",22.9973695,72.4972781,380051,"It Company in 380051 Ahmedabad it company titanium business park,",2026-08-25 18:23:48
QalbIT Infotech Pvt Ltd,,It Company,It Company,Siddhi Vinayak Towers C-109 Sarkhej Gandhinagar Hwy near Kataria Arcade,Siddhi Vinayak Towers C-109 Sarkhej,Ahmedabad,India,380051,8511900440,https://qalbit.com/,4.8,4,,7 PM,Open · Closes 7 PM,"https://www.google.com/maps/place/QalbIT+Infotech+Pvt+Ltd/@22.9930062,72.4941965,17z/data=!4m10!1m2!2m1!1sIt+Company+in+380051+Ahmedabad+it+company+titanium+business+park,!3m6!1s0x395e9b4dcb551825:0xd2ca8b0aa98f5d41!8m2!3d22.9930062!4d72.4989601!15sCkFJdCBDb21wYW55IGluIDM4MDA1MSBBaG1lZGFiYWQgaXQgY29tcGFueSB0aXRhbml1bSBidXNpbmVzcyBwYXJrLFpCIkBpdCBjb21wYW55IGluIDM4MDA1MSBhaG1lZGFiYWQgaXQgY29tcGFueSB0aXRhbml1bSBidXNpbmVzcyBwYXJrkgEQc29mdHdhcmVfY29tcGFueeABAA!16s%2Fg%2F11h4030jl3?hl=en&entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D",22.9930062,72.4941965,380051,"It Company in 380051 Ahmedabad it company titanium business park,",2026-08-25 18:23:53
Simplora Tech Pvt Ltd,,It Company,It Company,Titanium Business Park A-1208 nr. Railway Under Bridge,Titanium Business Park A-1208 nr. Railway Under Bridge,Ahmedabad,India,380051,,https://www.simploratech.com/,5.0,5,,6:30 PM,Open · Closes 6:30 PM,"https://www.google.com/maps/place/Simplora+Tech+Pvt+Ltd/@22.9973787,72.4971741,17z/data=!4m10!1m2!2m1!1sIt+Company+in+380051+Ahmedabad+it+company+titanium+business+park,!3m6!1s0x395e9bccf8c4491d:0xd9035373f5b8b64c!8m2!3d22.9973787!4d72.5019377!15sCkFJdCBDb21wYW55IGluIDM4MDA1MSBBaG1lZGFiYWQgaXQgY29tcGFueSB0aXRhbml1bSBidXNpbmVzcyBwYXJrLFpCIkBpdCBjb21wYW55IGluIDM4MDA1MSBhaG1lZGFiYWQgaXQgY29tcGFueSB0aXRhbml1bSBidXNpbmVzcyBwYXJrkgEQc29mdHdhcmVfY29tcGFueeABAA!16s%2Fg%2F11msdqgq_s?hl=en&entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D",22.9973787,72.4971741,380051,"It Company in 380051 Ahmedabad it company titanium business park,",2026-08-25 18:23:58
THE LEO TECH,,It Company,It Company,Titanium Business Park,Titanium Business Park,Ahmedabad,India,380051,9265659638,https://theleotech.com/,4.9,4,,7 PM,Open · Closes 7 PM,"https://www.google.com/maps/place/THE+LEO+TECH/@22.9973787,72.4971741,17z/data=!3m1!5s0x395e9ad7cde8b059:0x5a0de0437fc670b5!4m10!1m2!2m1!1sIt+Company+in+380051+Ahmedabad+it+company+titanium+business+park,!3m6!1s0x839d4375326a4183:0x1adb5ce19465f57c!8m2!3d22.9973695!4d72.5020417!15sCkFJdCBDb21wYW55IGluIDM4MDA1MSBBaG1lZGFiYWQgaXQgY29tcGFueSB0aXRhbml1bSBidXNpbmVzcyBwYXJrLJIBEHNvZnR3YXJlX2NvbXBhbnngAQA!16s%2Fg%2F11wfl2d3lw?hl=en&entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D",22.9973787,72.4971741,380051,"It Company in 380051 Ahmedabad it company titanium business park,",2026-08-25 18:24:05
Gamma Byte Technology LLP,,It Company,It Company,B/h Divyabhaskar Press A 1103 Titanium Business Park Nr Makarba railway crossing / garden,1103 Titanium Business Park Nr Makarba railway crossing / garden,Ahmedabad,India,380051,7359413187,http://gammabytetechnology.com/,5.0,5,,9 PM,Open · Closes 9 PM,"https://www.google.com/maps/place/Gamma+Byte+Technology+LLP/@22.9973787,72.4971741,17z/data=!4m10!1m2!2m1!1sIt+Company+in+380051+Ahmedabad+it+company+titanium+business+park,!3m6!1s0x395e9b11d6470193:0xcad0fa6f217da1b8!8m2!3d22.9974369!4d72.5018513!15sCkFJdCBDb21wYW55IGluIDM4MDA1MSBBaG1lZGFiYWQgaXQgY29tcGFueSB0aXRhbml1bSBidXNpbmVzcyBwYXJrLFpCIkBpdCBjb21wYW55IGluIDM4MDA1MSBhaG1lZGFiYWQgaXQgY29tcGFueSB0aXRhbml1bSBidXNpbmVzcyBwYXJrkgEQc29mdHdhcmVfY29tcGFueeABAA!16s%2Fg%2F11pz7s52l3?hl=en&entry=ttu&g_ep=EgoyMDI2MDgxOS4wIKXMDSoASAFQAw%3D%3D",22.9973787,72.4971741,380051,"It Company in 380051 Ahmedabad it company titanium business park,",2026-08-25 18:24:09
